Country,0,0,1
Burkina Faso,3,2005,CL
Burkina Faso,PF,2005,Status
Burkina Faso,5,2006,PR
Burkina Faso,3,2006,CL
Burkina Faso,PF,2006,Status
Burkina Faso,5,2007,PR
Burkina Faso,3,2007,CL
Burkina Faso,PF,2007,Status
Burkina Faso,5,2008,PR
Burkina Faso,3,2008,CL
Burkina Faso,PF,2008,Status
Burkina Faso,5,2009,PR
Burkina Faso,3,2009,CL
Burkina Faso,PF,2009,Status
Burkina Faso,5,2010,PR
Burkina Faso,3,2010,CL
Burkina Faso,PF,2010,Status
Burkina Faso,5,2011,PR
Burkina Faso,3,2011,CL
Burkina Faso,PF,2011,Status
Burkina Faso,5,2012,PR
Burkina Faso,3,2012,CL
Burkina Faso,PF,2012,Status
Burkina Faso,5,2013,PR
Burkina Faso,3,2013,CL
Burkina Faso,PF,2013,Status
Burkina Faso,6,2014,PR
Burkina Faso,3,2014,CL
Burkina Faso,PF,2014,Status
Burundi,6,2000,PR
Burundi,6,2000,CL
Burundi,NF,2000,Status
Burundi,6,2001,PR
Burundi,6,2001,CL
Burundi,NF,2001,Status
Burundi,6,2002,PR
Burundi,5,2002,CL
Burundi,NF,2002,Status
Burundi,5,2003,PR
Burundi,5,2003,CL
Burundi,PF,2003,Status
Burundi,5,2004,PR
Burundi,5,2004,CL
Burundi,PF,2004,Status
Burundi,3,2005,PR
Burundi,5,2005,CL
Burundi,PF,2005,Status
Burundi,4,2006,PR
Burundi,5,2006,CL
Burundi,PF,2006,Status
Burundi,4,2007,PR
Burundi,5,2007,CL
Burundi,PF,2007,Status
Burundi,4,2008,PR
Burundi,5,2008,CL
Burundi,PF,2008,Status
Burundi,4,2009,PR
Burundi,5,2009,CL
Burundi,PF,2009,Status
Burundi,5,2010,PR
Burundi,5,2010,CL
Burundi,PF,2010,Status
Burundi,5,2011,PR
Burundi,5,2011,CL
Burundi,PF,2011,Status
Burundi,5,2012,PR
Burundi,5,2012,CL
Burundi,PF,2012,Status
Burundi,5,2013,PR
Burundi,5,2013,CL
Burundi,PF,2013,Status
Burundi,6,2014,PR
Burundi,5,2014,CL
Burundi,NF,2014,Status
Cameroon,7,2000,PR
Cameroon,6,2000,CL
Cameroon,NF,2000,Status
Cameroon,6,2001,PR
Cameroon,6,2001,CL
Cameroon,NF,2001,Status
Cameroon,6,2002,PR
Cameroon,6,2002,CL
Cameroon,NF,2002,Status
Cameroon,6,2003,PR
Cameroon,6,2003,CL
Cameroon,NF,2003,Status
Cameroon,6,2004,PR
Cameroon,6,2004,CL
Cameroon,NF,2004,Status
Cameroon,6,2005,PR
Cameroon,6,2005,CL
Cameroon,NF,2005,Status
Cameroon,6,2006,PR
Cameroon,6,2006,CL
Cameroon,NF,2006,Status
Cameroon,6,2007,PR
Cameroon,6,2007,CL
Cameroon,NF,2007,Status
Cameroon,6,2008,PR
Cameroon,6,2008,CL
Cameroon,NF,2008,Status
