"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","ad_purpose_codes","ad_purpose_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"35590","1","China provides grant for feasibility study of Trans-Asian railway 'missing link' in Cambodia","","start-actual","","end-actual","China","CHN","Cambodia","KHM","210","Transport and Storage","","","Completion","2008","2008","3998217.813",""
"35591","1","EXIMbank concession loan for Phase II of Cambodian Kanghot Irrigation Project (linked to #32187)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","310","Agriculture, Forestry, Fishing","","","Implementation","2012","2012","35077057.3",""
"35595","1","Concessional loan for Prek Stung Keo water resources development project in Cambodia","","start-actual","","end-actual","China","CHN","Cambodia","KHM","310","Agriculture, Forestry, Fishing","","","Completion","2011","2011","50007658.67",""
"35602","1","China donates 30 locomotives to Myanmar ","","start-actual","2010-10-19","end-actual","China","CHN","Myanmar","MMR","210","Transport and Storage","","","Completion","2010","2010","",""
"35617","1","16th Chinese Medical team donates medicine and equipment to Uganda","","start-actual","","end-actual","China","CHN","Uganda","UGA","120","Health","","","Completion"," "," ","",""
"35618","1","Donation of medicine and equipment","2014-11-13","start-actual","","end-actual","China","CHN","Uganda","UGA","120","Health","","","Completion","2014","2014","1627754.119",""
"35619","1","Donation of Anti-Malaria Medicine, Equipment, and Supplies","2014-06-20","start-actual","","end-actual","China","CHN","Uganda","UGA","120","Health","","","Completion","2014","2014","",""
"35620","1","15th Chinese medical team","","start-actual","","end-actual","China","CHN","Uganda","UGA","120","Health","","","Completion"," "," ","",""
"35621","1","14th Chinese medical team","","start-actual","","end-actual","China","CHN","Uganda","UGA","120","Health","","","Completion"," "," ","",""
"35622","1","14th Chinese medical team in Uganda donates 100,000 RMB worth of medicine and equipment","","start-actual","","end-actual","China","CHN","Uganda","UGA","120","Health","","","Completion","2010","2010","18583.46685",""
"35623","1","China sends 13th Medical Team to Uganda","2007-08-01","start-actual","2009-08-31","end-actual","China","CHN","Uganda","UGA","120","Health","","","Completion","2007","2009","",""
"35624","1","China sends 12th medical team to Uganda","2005-08-01","start-actual","2007-08-31","end-actual","China","CHN","Uganda","UGA","120","Health","","","Completion","2005","2007","",""
"35625","1","11th Chinese medical team","","start-actual","","end-actual","China","CHN","Uganda","UGA","120","Health","","","Completion"," "," ","",""
"35662","1","Funding for 'Project of New Council of Ministers Building of the Kingdom of Cambodia'","","start-actual","","end-actual","China","CHN","Cambodia","KHM","150","Government and Civil Society","","","Completion","2005","2005","53967304.11",""
"35665","1","China sends 24th medical team to Zanzibar","2011-06-01","start-actual","2013-06-30","end-actual","China","CHN","Tanzania","TZA","120","Health","","","Completion","2011","2013","",""
"35666","1","China sends 23rd medical team to Zanzibar","2009-06-01","start-actual","2011-06-30","end-actual","China","CHN","Tanzania","TZA","120","Health","","","Completion","2009","2011","",""
"35674","1","China sends 22nd medical team to Zanzibar","2007-06-01","start-actual","2009-06-18","end-actual","China","CHN","Tanzania","TZA","120","Health","","","Completion","2007","2009","",""
"35676","1","China sends 21st medical team to Zanzibar","2005-05-25","start-actual","2007-06-03","end-actual","China","CHN","Tanzania","TZA","120","Health","","","Completion","2005","2007","",""
"35677","1","China sends 20th medical team to Zanzibar","2003-07-19","start-actual","2005-06-02","end-actual","China","CHN","Tanzania","TZA","120","Health","","","Completion","2003","2005","",""
"35678","1","19th Chinese medical team to Zanzibar","","start-actual","","end-actual","China","CHN","Tanzania","TZA","120","Health","","","Completion"," "," ","",""
"35679","1","China sends 20th medical team to Tanzania","2007-07-31","start-actual","2009-08-31","end-actual","China","CHN","Tanzania","TZA","120","Health","","","Completion","2007","2009","",""
"35680","1","19th Chinese medical team","","start-actual","","end-actual","China","CHN","Tanzania","TZA","120","Health","","","Completion"," "," ","",""
"35681","1","18th Chinese medical team ","","start-actual","","end-actual","China","CHN","Tanzania","TZA","120","Health","","","Completion"," "," ","",""
"35682","1","17th Chinese medical team","","start-actual","","end-actual","China","CHN","Tanzania","TZA","120","Health","","","Completion"," "," ","",""
"35685","1","China donates $500000 USD in cash assistance to Cambodia","","start-actual","","end-actual","China","CHN","Cambodia","KHM","720","Emergency Response","","","Completion","2010","2010","629075.3476",""
"35687","1","Concessional loan for 4th China-Cambodia Friendship (Takhmao) Bridge (Linked to Project ID#32105)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","210","Transport and Storage","","","Implementation","2011","2011","35527258.45",""
"35711","1","EXIM Bank loan for construction of Pakbeng-Ngeun bridge","","start-actual","","end-actual","China","CHN","Laos","LAO","210","Transport and Storage","","","Implementation","2012","2012","31199818.44",""
"35713","1","$50 million loan for construction of Mekong Bridge","","start-actual","","end-actual","China","CHN","Laos","LAO","210","Transport and Storage","","","Completion","2010","2010","62907534.76",""
"35714","1","China Development Bank loan for construction of Laos hydropower project phase 1 (Nam Ou 2, 5, 6) (linked to #33769)","","start-actual","","end-actual","China","CHN","Laos","LAO","230","Energy Generation and Supply","","","Implementation","2012","2012","699214946.3",""
"35721","1","China Donates $30,000 USD to Bolivian Red Cross Society to Aid Mud-rock Flow Victims","","start-actual","","end-actual","China","CHN","Bolivia","BOL","720","Emergency Response","","","Completion","2003","2003","66122.60043",""
