"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","ad_purpose_codes","ad_purpose_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"76","1","Mosaka water supply project","","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","140","Water Supply and Sanitation","","","Completion","2005","2005","3241976.167",""
"91","1","Exim Bank Provides Loan for GSM mobile telecommunication project","","start-actual","2006-03-01","end-actual","China","CHN","Burundi","BDI","220","Communications","","","Completion","2004","2006","16306747.58",""
"115","1","Chalinze Water Supply Project, Phase 1 (linked to #230)","","start-actual","2004-05-01","end-actual","China","CHN","Tanzania","TZA","140","Water Supply and Sanitation","","","Completion","2000","2004","31611793.91",""
"134","1","National Fiber-Optic Transmission Phase one","2009-03-01","start-actual","2009-10-01","end-actual","China","CHN","Congo, Dem. Rep.","COD","220","Communications","","","Completion","2008","2009","48636070.55",""
"230","1","Rehabilitate and extend the water supply system in Chalinze","","start-actual","","end-actual","China","CHN","Tanzania","TZA","140","Water Supply and Sanitation","","","Implementation"," "," ","",""
"239","1","China Exim Bank finances construction of the Gininia-Textile Mill Road in Rwanda","2004-01-01","start-actual","2006-01-01","end-actual","China","CHN","Rwanda","RWA","210","Transport and Storage","","","Completion","2004","2006","",""
"277","1","Chine provides debt relief to Burundi","2001-04-27","start-actual","2001-04-27","end-actual","China","CHN","Burundi","BDI","600","Action Relating to Debt","","","Completion","2001","2001","103987249.2",""
"280","1","Government Assistance Technical Agreement","","start-actual","","end-actual","China","CHN","Burundi","BDI","998","Unallocated / Unspecified","","","Implementation","2001","2001","5495444.934",""
"288","1","Sports and Office equipment","2002-06-07","start-actual","2002-06-07","end-actual","China","CHN","Burundi","BDI","110","Education","","","Completion","2002","2002","",""
"290","1","Economic Grant","","start-actual","","end-actual","China","CHN","Burundi","BDI","998","Unallocated / Unspecified","","","Implementation","2003","2003","7988680.059",""
"292","1","Hospital Equipment","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","","","Pipeline/identification"," "," ","",""
"316","1","China cancels 213 million CNY of debt Part 1","2007-05-25","start-actual","2007-05-25","end-actual","China","CHN","Burundi","BDI","600","Action Relating to Debt","","","Completion","2007","2007","45584956.64",""
"319","1","Malaria Treatment Center","2008-09-12","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","","","Completion","2007","2008","1760203.36",""
"327","1","Post-graduate studies scholarships","","start-actual","","end-actual","China","CHN","Burundi","BDI","110","Education","","","Pipeline/identification"," "," ","",""
"345","1","Interest-free Loan","","start-actual","","end-actual","China","CHN","Burundi","BDI","998","Unallocated / Unspecified","","","Implementation","2008","2008","2758818.57",""
"355","1","Construction Material for Schools and Health Centers","2011-06-25","start-actual","2011-06-25","end-actual","China","CHN","Burundi","BDI","430","Other","","","Completion","2008","2011","794058.2947",""
"357","1","Socio-economic Project Donation","","start-actual","","end-actual","China","CHN","Burundi","BDI","998","Unallocated / Unspecified","","","Implementation","2010","2010","7433386.739",""
"382","1","Telecommunications Joint Venture","","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","220","Communications","","","Completion","2000","2000","22432231.03",""
"407","1","Infrastructure Grant including Bukavu-Kavumu Airport Road","2008-05-26","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","210","Transport and Storage","","","Implementation","2006","2008","8280327.702",""
"413","1","Interest-free loan for Telecommunication","","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","220","Communications","","","Pipeline/identification","2006","2006","2392094.669",""
"417","1","China's Xinhua News provides broadcasting information and equipment to Radio-Television National Congolaise of the DRC","","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","220","Communications","","","Completion"," "," ","",""
"432","1","Technical and Economic Cooperation Grant","","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","998","Unallocated / Unspecified","","","Pipeline/identification","2003","2003","5325786.706",""
"438","1","Hospital with equipment, instruments, and doctors","2004-01-01","start-actual","2006-06-06","end-actual","China","CHN","Congo, Dem. Rep.","COD","120","Health","","","Completion","2004","2006","14944325.32",""
"449","1","China to loan $35m for refurbishing of post office","","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","150","Government and Civil Society","","","Implementation","2008","2008","48279324.98",""
"450","1","Infrastructure for mines barter deal (Sicomines)","","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","430","Other","","","Suspended","2007","2007","9768704686.0",""
"453","1","Humanitarian Aid","","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","720","Emergency Response","","","Implementation","2009","2009","794908.2106",""
"454","1","Chinese medical team donates $10,000 worth of medical equipment to Congolese hospital","","start-actual","2010-09-16","end-actual","China","CHN","Congo, Dem. Rep.","COD","120","Health","","","Completion","2010","2010","12581.50695",""
"459","1","Grant for Infrastructure","","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","998","Unallocated / Unspecified","","","Implementation","2011","2011","8592381.215",""
"460","1","Central Zongo II Hydroelectric Dam","2012-05-16","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","230","Energy Generation and Supply","","","Implementation","2011","2012","399739220.0",""
"461","1","Development Deal","","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","430","Other","","","Implementation"," "," ","",""
"570","1","De-mining training workshop","","start-actual","","end-actual","China","CHN","Africa, regional","Unspecified","150","Government and Civil Society","","","Completion"," "," ","",""
"601","1","Mine-Sweeping Equipment and Training for multiple African Nations","2011-11-12","start-actual","","end-actual","China","CHN","Africa, regional","Unspecified","150","Government and Civil Society","","","Implementation","2011","2011","",""
"680","1","Zanzibar International Airport Terminal II","2012-02-01","start-actual","","end-actual","China","CHN","Tanzania","TZA","210","Transport and Storage","","","Implementation","2010","2012","89386475.54",""
"824","1","Mugere Hydropwer Station access road construction (linked to project ID #825)","2008-08-08","start-actual","2009-12-30","end-actual","China","CHN","Burundi","BDI","210","Transport and Storage","","","Completion","2008","2009","2336144.115",""
"825","1","Rehabilitation of Mugere hydroelectric station","","start-actual","","end-actual","China","CHN","Burundi","BDI","230","Energy Generation and Supply","","","Implementation","2007","2007","6420416.428",""
"845","1","China provides interest-free loan for renovation of TAZARA railway","","start-actual","","end-actual","China","CHN","Africa, regional","Unspecified","210","Transport and Storage","","","Implementation","2009","2009","54167727.97",""
"955","1","Rehabilitation of the urban roads in the Kigali","","start-actual","","end-actual","China","CHN","Rwanda","RWA","210","Transport and Storage","","","Implementation","2008","2008","42472011.89",""
"1356","1","Computer Education and Equipment","2001-12-01","start-actual","2003-12-01","end-actual","China","CHN","Tanzania","TZA","110","Education","","","Completion","2001","2003","",""
"1357","1","China pledges 1.5 billion TSh for construction of houses","","start-actual","","end-actual","China","CHN","Tanzania","TZA","160","Other Social Infrastructure and Services","","","Pipeline/identification","2000","2000","4350246.868",""
"1359","1","Dodoma City Water Project","2000-10-12","start-actual","2002-11-20","end-actual","China","CHN","Tanzania","TZA","140","Water Supply and Sanitation","","","Completion","2000","2002","10646897.65",""
"1360","1","Equipment for Culture","","start-actual","","end-actual","China","CHN","Tanzania","TZA","160","Other Social Infrastructure and Services","","","Implementation","2000","2000","46426.32858",""
"1361","1","China cancels 19.2 million USD of Tanzania's debt ","","start-actual","2001-07-17","end-actual","China","CHN","Tanzania","TZA","600","Action Relating to Debt","","","Completion","2001","2001","43666724.55",""
"1364","1","TAZARA - Railway Grant","","start-actual","","end-actual","China","CHN","Africa, regional","Unspecified","210","Transport and Storage","","","Implementation","2001","2001","27247743.15",""
"1373","1","Rescue Operation","","start-actual","","end-actual","China","CHN","Tanzania","TZA","720","Emergency Response","","","Pipeline/identification","2002","2002","23391.57531",""
"1374","1","Stationary and Musical Equipment","","start-actual","2002-07-05","end-actual","China","CHN","Tanzania","TZA","110","Education","","","Completion","2002","2002","113049.47",""
"1428","1","Anti-malaria drugs and Cement","","start-actual","2005-01-20","end-actual","China","CHN","Tanzania","TZA","430","Other","","","Completion","2005","2005","18665.92338",""
"1444","1","Tractors and Water pumps","","start-actual","","end-actual","China","CHN","Tanzania","TZA","310","Agriculture, Forestry, Fishing","","","Completion"," "," ","",""
"1492","1","Vehicle Donation","","start-actual","2003-10-26","end-actual","China","CHN","Tanzania","TZA","210","Transport and Storage","","","Completion","2003","2003","",""
"1493","1","Police Vehicle Donation","","start-actual","2003-03-17","end-actual","China","CHN","Tanzania","TZA","150","Government and Civil Society","","","Completion","2003","2003","440817.3362",""
"1496","1","Housing project","","start-actual","2004-01-04","end-actual","China","CHN","Tanzania","TZA","160","Other Social Infrastructure and Services","","","Completion","2004","2004","",""
"1515","1","Anti-Malaria Drugs and Mosquito Nets","","start-actual","","end-actual","China","CHN","Tanzania","TZA","120","Health","","","Completion","2005","2005","25542.84253",""
"1518","1","Agricultural machinery","","start-actual","2005-11-15","end-actual","China","CHN","Tanzania","TZA","310","Agriculture, Forestry, Fishing","","","Completion","2005","2005","245401.0206",""
"1521","1","Anti-malarial drugs","","start-actual","2005-12-05","end-actual","China","CHN","Tanzania","TZA","120","Health","","","Completion","2005","2005","241920.1551",""
"1522","1","Loan for development projects","","start-actual","","end-actual","China","CHN","Tanzania","TZA","998","Unallocated / Unspecified","","","Implementation","2006","2006","18462026.77",""
"1677","1","Solar energy technician training ","2004-06-01","start-actual","2004-08-24","end-actual","China","CHN","Africa, regional","Unspecified","230","Energy Generation and Supply","","","Completion","2004","2004","",""
"1740","1","China helps build Ideological Schools in Zanzibar","","start-actual","","end-actual","China","CHN","Tanzania","TZA","110","Education","","","Implementation"," "," ","",""
"1772","1","Food Shortage Aid","","start-actual","","end-actual","China","CHN","Tanzania","TZA","520","Developmental Food Aid/Food Security Assistance","","","Implementation","2006","2006","1807883.713",""
"1773","1","Donation to train nurses and midwives (Multilateral)","","start-actual","","end-actual","China","CHN","Africa, regional","Unspecified","120","Health","","","Implementation","2006","2006","920036.4113",""
"1783","1","Sports Stadium","","start-actual","","end-actual","China","CHN","Tanzania","TZA","160","Other Social Infrastructure and Services","","","Completion","2000","2000","84104772.79",""
"1795","1","Computers for State Road Agency","","start-actual","","end-actual","China","CHN","Tanzania","TZA","150","Government and Civil Society","","","Completion"," "," ","",""
"1800","1","Information and Computer Technology Facilities for Interior Ministry","","start-actual","2008-11-27","end-actual","China","CHN","Tanzania","TZA","150","Government and Civil Society","","","Completion","2008","2008","2069113.928",""
"1802","1","China extends loan to Rwanda for infrastructure and government ","","start-actual","","end-actual","China","CHN","Rwanda","RWA","998","Unallocated / Unspecified","","","Implementation","2003","2003","8198888.668",""
"1837","1","Economic development grant","","start-actual","","end-actual","China","CHN","Rwanda","RWA","998","Unallocated / Unspecified","","","Pipeline/identification","2000","2000","5608057.757",""
"1843","1","Grant for feasibility study for rail project","","start-actual","","end-actual","China","CHN","Rwanda","RWA","210","Transport and Storage","","","Pipeline/identification","2000","2000","5608057.757",""
"1861","1","Grant for polyclinic","2009-05-09","start-actual","","end-actual","China","CHN","Rwanda","RWA","120","Health","","","Completion","2009","2009","",""
"1867","1","Cancellation of expired loans","2001-11-12","start-actual","2001-11-12","end-actual","China","CHN","Rwanda","RWA","600","Action Relating to Debt","","","Completion","2001","2001","6140633.14",""
"1874","1","Grant to boost rice production","","start-actual","","end-actual","China","CHN","Rwanda","RWA","310","Agriculture, Forestry, Fishing","","","Implementation","2001","2001","8214357.375",""
"1876","1","Cancellation of expired debt","2001-11-12","start-actual","2001-11-12","end-actual","China","CHN","Rwanda","RWA","600","Action Relating to Debt","","","Completion","2001","2001","31098722.88",""
"1877","1","Grant for bilateral projects","","start-actual","","end-actual","China","CHN","Rwanda","RWA","998","Unallocated / Unspecified","","","Implementation","2001","2001","8243167.401",""
"1880","1","Grant for construction of State House","","start-actual","","end-actual","China","CHN","Rwanda","RWA","150","Government and Civil Society","","","Implementation","2005","2005","105669.8257",""
"1881","1","Loan for construction of the State House","","start-actual","","end-actual","China","CHN","Rwanda","RWA","150","Government and Civil Society","","","Implementation","2005","2005","2947251.061",""
"1884","1","Donation of computers to newspaper","2006-01-05","start-actual","2006-01-05","end-actual","China","CHN","Rwanda","RWA","150","Government and Civil Society","","","Completion","2006","2006","",""
"1885","1","China donates USD5K to Rwanda memorial site","2006-08-29","start-actual","2006-08-29","end-actual","China","CHN","Rwanda","RWA","160","Other Social Infrastructure and Services","","","Completion","2006","2006","9200.364113",""
"1886","1","Construction of Ministry of Foreign Affairs headquarters (possibly linked to project ID#1802)","","start-actual","2009-01-14","end-actual","China","CHN","Rwanda","RWA","150","Government and Civil Society","","","Completion","2006","2009","14094957.82",""
"1887","1","Construction of women's center","","start-actual","","end-actual","China","CHN","Rwanda","RWA","420","Women","","","Pipeline/identification"," "," ","",""
"1888","1","Construction of Confucius Institute in Rwanda","2006-09-14","start-actual","2009-06-26","end-actual","China","CHN","Rwanda","RWA","160","Other Social Infrastructure and Services","","","Completion","2006","2009","",""
"1889","1","Donation of equipment for parliament office building","","start-actual","","end-actual","China","CHN","Rwanda","RWA","150","Government and Civil Society","","","Pipeline/identification"," "," ","",""
"1890","1","Donation of medical instruments and medicine","","start-actual","","end-actual","China","CHN","Rwanda","RWA","120","Health","","","Pipeline/identification","2006","2006","461550.6693",""
"1891","1","Rehabilitation of Kibungo hospital","","start-actual","2012-01-01","end-actual","China","CHN","Rwanda","RWA","120","Health","","","Completion","2012","2012","",""
"1892","1","Construction of Kabuga Hospital","","start-actual","","end-actual","China","CHN","Rwanda","RWA","120","Health","","","Implementation"," "," ","",""
"1893","1","Training of government officials","","start-actual","","end-actual","China","CHN","Rwanda","RWA","150","Government and Civil Society","","","Pipeline/identification"," "," ","",""
"1894","1","Scholarships for undergraduate and postgraduate studies in China","","start-actual","","end-actual","China","CHN","Rwanda","RWA","110","Education","","","Pipeline/identification"," "," ","",""
"1895","1","Grants for economic development","","start-actual","","end-actual","China","CHN","Rwanda","RWA","998","Unallocated / Unspecified","","","Pipeline/identification","2006","2006","4615506.693",""
"1897","1","Donation of anti-malaria medicine","","start-actual","","end-actual","China","CHN","Rwanda","RWA","120","Health","","","Implementation"," "," ","",""
"1898","1","Construction of primary schools","","start-actual","2009-09-14","end-actual","China","CHN","Rwanda","RWA","110","Education","","","Completion","2007","2009","2381354.88",""
"1899","1","Cancellation of debts","2007-05-19","start-actual","2007-05-19","end-actual","China","CHN","Rwanda","RWA","600","Action Relating to Debt","","","Completion","2007","2007","260498791.6",""
"1903","1","Aid Deal- includes zanzibar IT","","start-actual","","end-actual","China","CHN","Tanzania","TZA","998","Unallocated / Unspecified","","","Implementation","2009","2009","29809057.9",""
"1905","1","China helps set up Tanzania Agricultural Development Bank","","start-actual","","end-actual","China","CHN","Tanzania","TZA","240","Banking and Financial Services","","","Cancelled","2009","2009","678793583.6",""
"1907","1","Computer Equipment","","start-actual","2009-09-01","end-actual","China","CHN","Tanzania","TZA","150","Government and Civil Society","","","Completion","2009","2009","298090.579",""
"1910","1","Rehabilitation of the State Radio and Television","","start-actual","","end-actual","China","CHN","Tanzania","TZA","220","Communications","","","Implementation","2009","2009","5973383.535",""
"1917","1","Economic and Technical Cooperation","","start-actual","","end-actual","China","CHN","Tanzania","TZA","998","Unallocated / Unspecified","","","Implementation","2010","2010","12581506.95",""
"1919","1","China goodwill equipment donation to Tanzania","","start-actual","2010-03-29","end-actual","China","CHN","Tanzania","TZA","160","Other Social Infrastructure and Services","","","Completion","2010","2010","6249.363889",""
"1923","1","China donates 64 million TZS worth of medical equipment to Zanzibar","","start-actual","2010-03-11","end-actual","China","CHN","Tanzania","TZA","120","Health","","","Completion","2010","2010","57137.04127",""
"1924","1","Preferential Loans for Mobile Telecom Network Construction","","start-actual","","end-actual","China","CHN","Tanzania","TZA","220","Communications","","","Implementation","2011","2011","72175136.95",""
"1925","1","Grant for Public Transportation","","start-actual","","end-actual","China","CHN","Tanzania","TZA","150","Government and Civil Society","","","Implementation","2011","2011","11103867.22",""
"1926","1","Vehicle Donation","","start-actual","","end-actual","China","CHN","Tanzania","TZA","210","Transport and Storage","","","Implementation","2011","2011","6329204.317",""
"1931","1","TAZARA - Forgiveness of Tanzanian Railway Authority Debt","","start-actual","","end-actual","China","CHN","Africa, regional","Unspecified","210","Transport and Storage","","","Completion","2011","2011","83279004.17",""
"1934","1","Sporting gear","","start-actual","2011-10-26","end-actual","China","CHN","Tanzania","TZA","160","Other Social Infrastructure and Services","","","Completion","2011","2011","",""
"1978","1","China donates RWF60M of office equipment to Rwanda political party","2008-01-15","start-actual","2008-01-15","end-actual","China","CHN","Rwanda","RWA","150","Government and Civil Society","","","Completion","2008","2008","151348.1959",""
"1980","1","Donation for earthquake victims","","start-actual","","end-actual","China","CHN","Rwanda","RWA","720","Emergency Response","","","Pipeline/identification","2008","2008","68970.46425",""
"1982","1","Youth volunteers to work in various field","","start-actual","","end-actual","China","CHN","Rwanda","RWA","430","Other","","","Pipeline/identification"," "," ","",""
"1984","1","Grant for construction of Kigali hospital","","start-actual","","end-actual","China","CHN","Rwanda","RWA","120","Health","","","Implementation","2008","2008","1985145.737",""
"1992","1","Grant to President's efforts in supporting vulnerable children","","start-actual","","end-actual","China","CHN","Rwanda","RWA","160","Other Social Infrastructure and Services","","","Implementation","2009","2009","95031.1017",""
"2009","1","Construction of cement factory","","start-actual","","end-actual","China","CHN","Rwanda","RWA","320","Industry, Mining, Construction","","","Implementation","2009","2009","67879358.36",""
"2010","1","Construction of rice processing plant","","start-actual","","end-actual","China","CHN","Rwanda","RWA","310","Agriculture, Forestry, Fishing","","","Completion"," "," ","",""
"2014","1","Kigali road network rehabilitation project","","start-actual","","end-actual","China","CHN","Rwanda","RWA","210","Transport and Storage","","","Implementation","2009","2009","43521224.53",""
"2015","1","Interest-free loan agreement","","start-actual","","end-actual","China","CHN","Rwanda","RWA","998","Unallocated / Unspecified","","","Pipeline/identification","2009","2009","7949082.106",""
"2018","1","Grant for agreed-upon development projects","","start-actual","","end-actual","China","CHN","Rwanda","RWA","998","Unallocated / Unspecified","","","Implementation","2010","2010","5535863.058",""
"2020","1","Grant for development","","start-actual","","end-actual","China","CHN","Rwanda","RWA","998","Unallocated / Unspecified","","","Implementation","2010","2010","7548904.171",""
"2021","1","Interest-free loan to boost trade","","start-actual","","end-actual","China","CHN","Rwanda","RWA","330","Trade and Tourism","","","Pipeline/identification","2011","2011","8592381.215",""
"2022","1","China grants 50m CNY to Rwanda to boost trade (Linked to Project ID #2021)","","start-actual","","end-actual","China","CHN","Rwanda","RWA","330","Trade and Tourism","","","Pipeline/identification","2011","2011","8592381.215",""
"2023","1","Feasibility study for road construction project","","start-actual","","end-actual","China","CHN","Rwanda","RWA","210","Transport and Storage","","","Pipeline/identification"," "," ","",""
"2276","1","TAZARA - Equipment","","start-actual","","end-actual","China","CHN","Africa, regional","Unspecified","210","Transport and Storage","","","Completion","2006","2006","9200364.113",""
"2302","1","Zambia contracts railway loans from China","","start-actual","","end-actual","China","CHN","Africa, regional","Unspecified","210","Transport and Storage","","","Implementation","2005","2005","12181971.05",""
"2489","1","Donation of road maintenance vehicles ","2000-05-12","start-actual","2000-05-12","end-actual","China","CHN","Uganda","UGA","210","Transport and Storage","","","Completion","2000","2000","7428212.572",""
"2494","1","Donation of television station equipment","2000-08-01","start-actual","2000-08-01","end-actual","China","CHN","Uganda","UGA","220","Communications","","","Completion","2000","2000","",""
"2495","1","China cancels $50 million USD of Uganda's debt ","2001-01-17","start-actual","2001-01-17","end-actual","China","CHN","Uganda","UGA","600","Action Relating to Debt","","","Completion","2001","2001","113715428.5",""
"2496","1","China provides aid to Uganda to fight Ebola Virus","2001-02-13","start-actual","2001-02-28","end-actual","China","CHN","Uganda","UGA","120","Health","","","Implementation","2001","2001","19066190.57",""
"2497","1","Donation to the Uganda Olympic Committee","2003-12-19","start-actual","2003-12-19","end-actual","China","CHN","Uganda","UGA","160","Other Social Infrastructure and Services","","","Completion","2003","2003","22040.86681",""
"2498","1","Construction of building for Ministry of Foreign Affairs Office","2002-11-28","start-actual","2004-01-01","end-actual","China","CHN","Uganda","UGA","150","Government and Civil Society","","","Completion","2002","2004","10722597.52",""
"2499","1","China signs $10m agreement to promote trade and economic cooperation pact with Uganda","","start-actual","","end-actual","China","CHN","Uganda","UGA","330","Trade and Tourism","","","Implementation","2001","2001","22743085.71",""
"2501","1","Donation of equipment for cultural activities","2008-05-30","start-actual","2008-05-30","end-actual","China","CHN","Uganda","UGA","160","Other Social Infrastructure and Services","","","Completion","2001","2008","85238.37787",""
"2502","1","China donates garbage trucks to Uganda ","2003-12-08","start-actual","2003-12-08","end-actual","China","CHN","Uganda","UGA","140","Water Supply and Sanitation","","","Completion","2003","2003","3195472.024",""
"2505","1","Donation of computers to promote education","2002-08-09","start-actual","2002-08-09","end-actual","China","CHN","Uganda","UGA","110","Education","","","Completion","2002","2002","",""
"2507","1","Aid to Interally Displaced Persons Camps","2003-08-30","start-actual","2003-08-30","end-actual","China","CHN","Uganda","UGA","720","Emergency Response","","","Completion","2003","2003","551021.6703",""
"2509","1","Unconditional grant","","start-actual","","end-actual","China","CHN","Uganda","UGA","998","Unallocated / Unspecified","","","Implementation","2003","2003","7988680.059",""
"2510","1","Construction of state house","2004-01-01","start-actual","2007-11-10","end-actual","China","CHN","Uganda","UGA","150","Government and Civil Society","","","Completion","2004","2007","10307678.62",""
"2511","1","Grant for development aid","2004-09-16","start-actual","","end-actual","China","CHN","Uganda","UGA","998","Unallocated / Unspecified","","","Pipeline/identification","2004","2004","5359992.882",""
"2514","1","Expansion of parliament chambers","","start-actual","2008-01-01","end-actual","China","CHN","Uganda","UGA","150","Government and Civil Society","","","Completion","2006","2008","24112951.84",""
"2515","1","China agreed to the construction of a rail line to Juba and made other economic cooperation agreements","","start-actual","","end-actual","China","CHN","Uganda","UGA","210","Transport and Storage","","","Implementation"," "," ","",""
"2517","1","Grant for refuse collection","","start-actual","","end-actual","China","CHN","Uganda","UGA","140","Water Supply and Sanitation","","","Implementation","2006","2006","18400728.23",""
"2518","1","Debt forgiveness","2007-09-21","start-actual","2007-09-21","end-actual","China","CHN","Uganda","UGA","600","Action Relating to Debt","","","Completion","2007","2007","27677996.61",""
"11289","1","HIV/AIDS health experts and medical equipment","","start-actual","","end-actual","China","CHN","Uganda","UGA","130","Population Policies / Programmes and Reproductive Health","","","Pipeline/identification"," "," ","",""
"11347","1","China Grants Uganda 2 billion UGX for the Construction of Model Agricultural Primary Schools","","start-actual","","end-actual","China","CHN","Uganda","UGA","110","Education","","","Implementation","2007","2007","1889324.306",""
"11357","1","Construction of industrial school","","start-actual","","end-actual","China","CHN","Uganda","UGA","110","Education","","","Pipeline/identification","2007","2007","1889324.306",""
"11413","1","China Funds Upgrade of UBC's Broadcasting Facilities in Uganda","2007-11-01","start-actual","","end-actual","China","CHN","Uganda","UGA","220","Communications","","","Completion","2006","2007","3362199.462",""
"11465","1","Grant for flood relief","","start-actual","","end-actual","China","CHN","Uganda","UGA","720","Emergency Response","","","Implementation","2007","2007","162811.7448",""
"11536","1","Construction of Export Promotions Hub","","start-actual","","end-actual","China","CHN","Uganda","UGA","330","Trade and Tourism","","","Implementation"," "," ","",""
"11543","1","Loan for security communications system","","start-actual","2008-01-19","end-actual","China","CHN","Uganda","UGA","150","Government and Civil Society","","","Completion","2008","2008","6897046.425",""
"11563","1","Donation of farm supplies and seeds","","start-actual","","end-actual","China","CHN","Uganda","UGA","310","Agriculture, Forestry, Fishing","","","Implementation","2008","2008","2084615.59",""
"11579","1","Loan for sanitation and road equipment","2009-01-01","start-actual","","end-actual","China","CHN","Uganda","UGA","430","Other","","","Implementation","2008","2009","14003229.23",""
"12127","1","China Funds Construction of Government Offices in Uganda","2009-10-01","start-actual","2012-01-12","end-actual","China","CHN","Uganda","UGA","150","Government and Civil Society","","","Completion","2007","2012","43959171.09",""
"12177","1","China Funds Construction of Anti-Malaria Center at the Mulago Hospital in Uganda","","start-actual","2008-01-01","end-actual","China","CHN","Uganda","UGA","120","Health","","","Completion","2007","2008","661263.507",""
"12194","1","Medical Teams","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","","","Implementation"," "," ","",""
"12253","1","Loan for e-governance and national backbone (Linked to #11543)","2009-01-01","start-actual","","end-actual","China","CHN","Uganda","UGA","220","Communications","","","Implementation","2009","2009","137116303.9",""
"12292","1","Rural Elementary Schools","","start-actual","2008-12-17","end-actual","China","CHN","Burundi","BDI","110","Education","","","Completion","2008","2008","2977718.605",""
"12298","1","Construction of Mpanda General Hospital","2009-05-14","start-actual","2011-01-19","end-actual","China","CHN","Burundi","BDI","120","Health","","","Completion","2008","2011","11566726.19",""
"12303","1","Construction of Presidential Palace","","start-actual","","end-actual","China","CHN","Burundi","BDI","150","Government and Civil Society","","","Implementation"," "," ","",""
"12324","1","Malaria Treatment Drugs","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","","","Implementation","2007","2007","328982.2958",""
"12353","1","Debt cancellation Part 2","2007-09-13","start-actual","2007-09-13","end-actual","China","CHN","Burundi","BDI","600","Action Relating to Debt","","","Completion","2007","2007","29420488.21",""
"12360","1","Donation of anti-malaria drugs","2009-04-20","start-actual","2009-04-20","end-actual","China","CHN","Uganda","UGA","120","Health","","","Completion","2009","2009","543034.8669",""
"12430","1","Scholarships for Ugandan students","","start-actual","","end-actual","China","CHN","Uganda","UGA","110","Education","","","Implementation"," "," ","",""
"12448","1","Chinese donation of reproductive health medical equipment","2009-06-30","start-actual","2009-06-30","end-actual","China","CHN","Uganda","UGA","120","Health","","","Completion","2009","2009","407276.1501",""
"12479","1","China Grants Uganda 5 million USD to Construct Agricultural Aquaculture Demonstration Center","2009-01-01","start-actual","2010-12-01","end-actual","China","CHN","Uganda","UGA","310","Agriculture, Forestry, Fishing","","","Completion","2009","2010","6787935.836",""
"12513","1","China Funds 750,000 USD for Construction of Secondary School in Sembabule District in Uganda","","start-actual","2009-09-08","end-actual","China","CHN","Uganda","UGA","110","Education","","","Completion","2009","2009","1018190.375",""
"13059","1","Foreign Ministry Renovation","","start-actual","2004-01-08","end-actual","China","CHN","Congo, Dem. Rep.","COD","150","Government and Civil Society","","","Completion","2003","2004","1597699.998",""
"14235","1","China EXIM Bank Loans 350 million for Construction of Entebbe-Kampala Toll Road in Uganda","2012-11-21","start-actual","","end-actual","China","CHN","Uganda","UGA","210","Transport and Storage","","","Implementation","2011","2012","388635352.8",""
"14342","1","Grant for Mandela Stadium upgrade","2010-07-12","start-actual","2011-04-17","end-actual","China","CHN","Uganda","UGA","160","Other Social Infrastructure and Services","","","Completion","2010","2011","3774452.085",""
"14359","1","Donation of anti-malaria drugs","2010-01-18","start-actual","2010-01-18","end-actual","China","CHN","Uganda","UGA","120","Health","","","Completion","2010","2010","503260.278",""
"14381","1","Technical training for Ugandan workers","2007-01-01","start-actual","2010-01-01","end-actual","China","CHN","Uganda","UGA","430","Other","","","Completion","2007","2010","",""
"14393","1","TAZARA - Loan","","start-actual","","end-actual","China","CHN","Africa, regional","Unspecified","210","Transport and Storage","","","Implementation","2006","2006","20769780.12",""
"14502","1","Good Will Grant","","start-actual","","end-actual","China","CHN","Tanzania","TZA","998","Unallocated / Unspecified","","","Pipeline/identification","2001","2001","519004.6315",""
"14612","1","Donation of anti-malaria drugs","2010-10-08","start-actual","2010-10-08","end-actual","China","CHN","Uganda","UGA","120","Health","","","Completion","2010","2010","577780.6974",""
"14681","1","China provided $100 million USD Loans to improve road networks","2012-07-01","start-actual","","end-actual","China","CHN","Uganda","UGA","210","Transport and Storage","","","Implementation","2011","2012","111038672.2",""
