all_recipients,crs_sector_name,flow,flow_class,funding_agency,intent,location_details,latitude,longitude,place_name,year,project_title,recipient_condensed,round_coded,aid_amount,predicted_by_modeling,aid_in_millions
Zimbabwe,Government and Civil Society,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0,0,Zimbabwe,2000,China Donates Office Equipment to Zimbabwe,Zimbabwe,ChinatoAfrica,1401571,FALSE,1.401571
Zimbabwe,"Agriculture, Forestry and Fishing",Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Hatcliffe, Zimbabwe",0,0,Zimbabwe,2001,China donates agricultural equipment,Zimbabwe,ChinatoAfrica,549347,FALSE,0.549347
Zimbabwe,Government and Civil Society,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Harare, Zimbabwe",-17.82772,31.05337,Harare,2001,Office equipment for Foreign Affairs Ministry,Zimbabwe,ChinatoAfrica,568373,FALSE,0.568373
Zimbabwe,Other Social infrastructure and services,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0,0,Zimbabwe,2002,China donates sports equipment,Zimbabwe,ChinatoAfrica,84677,FALSE,0.084677
Rwanda,"Agriculture, Forestry and Fishing",Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Huye District, Southern Province, Rwanda",-2.5805,29.716,Huye,2006,China grants $4.5 million to construct Agricultural Technology Demonstration Center,Rwanda,EcologicallySensitive,8277349,FALSE,8.277349
Rwanda,"Agriculture, Forestry and Fishing",Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Huye District, Southern Province, Rwanda",-2.582,29.702,Huye District,2006,China grants $4.5 million to construct Agricultural Technology Demonstration Center,Rwanda,EcologicallySensitive,8277349,FALSE,8.277349
Zimbabwe,Other Social infrastructure and services,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,-17.85417,31.05833,Harare,2002,Goods for Harare Christmas Fund,Zimbabwe,ChinatoAfrica,4294335,FALSE,4.294335
Zimbabwe,Other Social infrastructure and services,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,-17.82772,31.05337,Harare,2002,Goods for Harare Christmas Fund,Zimbabwe,ChinatoAfrica,4294335,FALSE,4.294335
Zimbabwe,Other Multisector,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0,0,Zimbabwe,2002,"5 million dollar grant for food, irrigation",Zimbabwe,ChinatoAfrica,11300881,FALSE,11.300881
Zimbabwe,Developmental Food Aid/Food Security Assistance,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0,0,Zimbabwe,2003,"Yellow Maize Donation worth $500,000 USD",Zimbabwe,ChinatoAfrica,1101647,FALSE,1.101647
Kenya,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0,0,Kenya,2009,China Donates Anti-Malaria Medicine,Kenya,EcologicallySensitive,1191933,FALSE,1.191933
Zimbabwe,Government and Civil Society,Grant,ODA-like,"National People's Congress of China, Government Agency",Development,"Harare, Zimbabwe",-17.82772,31.05337,Harare,2001,Computers and accessories to Zimbabwean Parliament,Zimbabwe,ChinatoAfrica,274673,FALSE,0.274673
Zimbabwe,Action Relating to Debt,Debt rescheduling,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0,0,Zimbabwe,2003,China Reschedules Zimbabwe Debt,Zimbabwe,ChinatoAfrica,92538338,FALSE,92.538338
Zimbabwe,"Agriculture, Forestry and Fishing",Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0,0,Zimbabwe,2003,China grants 2 million USD for land reform,Zimbabwe,ChinatoAfrica,4406588,FALSE,4.406588
Zimbabwe,Energy Generation and Supply,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0,0,Zimbabwe,2004,China donates $110 million USD worth of transformers for Rural Electrification,Zimbabwe,ChinatoAfrica,226687353,FALSE,226.687353
Zimbabwe,Government and Civil Society,Grant,ODA-like,"Chinese People's Political Consultative Conference (CPPCC), Government Agency",Development,"Harare, Zimbabwe",-17.82772,31.05337,Harare,2003,Photocopier and 4x4 donation to Parliament,Zimbabwe,ChinatoAfrica,44066,FALSE,0.044066
Zimbabwe,Government and Civil Society,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Harare, Zimbabwe",-17.82772,31.05337,Harare,2004,Computer Equipment for Parliament,Zimbabwe,ChinatoAfrica,540897,FALSE,0.540897
Kenya,Emergency Response,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0,0,Kenya,2008,"China donates 300,000 USD to Kenyan Red Cross Society",Kenya,EcologicallySensitive,413674,FALSE,0.413674
Zimbabwe,Action Relating to Debt,Debt rescheduling,ODA-like,"Export-Import Bank of China, Government Agency",Development,unknown,0,0,Zimbabwe,2003,China reschedules Zimbabwe's debt,Zimbabwe,ChinatoAfrica,39438958,FALSE,39.438958
Malawi,Education,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,-11.422,33.99323,Mzuzu University,2011,Embassy Grants Funds for Constructing New Department at Mzuzu University,Malawi,EcologicallySensitive,14184,FALSE,0.014184
Zimbabwe,"Agriculture, Forestry and Fishing",Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0,0,Zimbabwe,2005,China Grants 6 million USD to Zimbabwe for Agriculture Projects,Zimbabwe,ChinatoAfrica,11784763,FALSE,11.784763
"Congo, Rep.",Education,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Brazzaville,-4.26613,15.28318,Brazzaville,2007,Finance the construction of University of Marien Ngouab Library,"Congo, Rep.",ChinatoAfrica,6510128,FALSE,6.510128
Kenya,Government and Civil Society,Scholarships/training in the donor country,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0,0,Kenya,2005,China provides Technical Training courses to Kenyan government officials,Kenya,EcologicallySensitive,1076342,FALSE,1.076342
Uganda,Health,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Jinja,0.43902,33.20317,Jinja,2001,10th Chinese medical team,Uganda,EcologicallySensitive,78143210,FALSE,78.14321
Uganda,Education,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Nakawa,0.33957,32.62627,Nakawa,2001,Experts to guide in UIRI ,Uganda,EcologicallySensitive,971744,FALSE,0.971744
Uganda,Other Social infrastructure and services,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Namboole, Bweyogerere",0.31628,32.58219,Kampala,2004,China Sends Experts to Mandela Stadium ,Uganda,EcologicallySensitive,9173330,FALSE,9.17333
Liberia,Government and Civil Society,Grant,OOF-like,"Unspecified Chinese Government Institution, Government Agency",Representational,unknown,6.27622,-10.73326,Peace Island,2012,Agreement to build ministerial complex ,Liberia,ChinatoAfrica,63542126,FALSE,63.542126
Uganda,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0,0,Uganda,2002,Donation of medical equipment,Uganda,EcologicallySensitive,815924,FALSE,0.815924
Zimbabwe,Education,Grant,OOF-like,"Unspecified Chinese Government Institution, Government Agency",Representational,"University of Zimbabwe; Harare, Zimbabwe",-17.82772,31.05337,Harare,2006,Confucius Institute founded at University of Zimbabwe,Zimbabwe,ChinatoAfrica,183941,FALSE,0.183941
Zimbabwe,"Agriculture, Forestry and Fishing",Export credits,OOF-like,"Export-Import Bank of China, Government Agency",Commercial,unknown,0,0,Zimbabwe,2006,China loans $490 million for fertiliser and for financing agro-input in Zimbabwe,Zimbabwe,AdditionalCoded,901311387,FALSE,901.311387
Zimbabwe,"Agriculture, Forestry and Fishing",Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,unknown,0,0,Zimbabwe,2006,Zimbabwe acquires Chinese agricultural support facility,Zimbabwe,ChinatoAfrica,367882199,FALSE,367.882199
Zimbabwe,Other Social infrastructure and services,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Zimbabwe National Sports Stadium, Harare, Zimbabwe",-17.82772,31.05337,Harare,2006,China grants $10 million USD for stadium renovation,Zimbabwe,ChinatoAfrica,18394110,FALSE,18.39411
Zimbabwe,"Agriculture, Forestry and Fishing",Export credits,OOF-like,"Unspecified Chinese Government Institution, Government Agency",Mixed,unknown,0,0,Zimbabwe,2007,Chinese government loan for agricultural development - Phase 1 (linked to #27714),Zimbabwe,ChinatoAfrica,40688297,FALSE,40.688297
"Congo, Dem. Rep.",Education,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Kisangani, Orientale",0.51528,25.19099,Kisangani,2006,Two Kisangani Schools,"Congo, Dem. Rep.",EcologicallySensitive,4041181,FALSE,4.041181
