all_recipients,crs_sector_name,flow,flow_class,funding_agency,intent,location_details,latitude,longitude,place_name,year,project_title,recipient_condensed,round_coded,aid_amount,predicted_by_modeling
Angola,Energy Generation and Supply,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Bengo, Bie, Kwanze-Norte, Kwanza-Sul, Luanda, Malange, Moxico",-12.84869,20.93266,Moxico,2006,China constructs generation network worth $74.3 million in Angola (Linked to Project ID #42029),Angola,AdditionalCoded,136725783.0,False
Angola,Energy Generation and Supply,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Bengo, Bie, Kwanze-Norte, Kwanza-Sul, Luanda, Malange, Moxico",-9.67548,16.82553,Malanje,2006,China constructs generation network worth $74.3 million in Angola (Linked to Project ID #42029),Angola,AdditionalCoded,136725783.0,False
Angola,Energy Generation and Supply,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Bengo, Bie, Kwanze-Norte, Kwanza-Sul, Luanda, Malange, Moxico",-8.91667,13.33924,Luanda,2006,China constructs generation network worth $74.3 million in Angola (Linked to Project ID #42029),Angola,AdditionalCoded,136725783.0,False
Angola,Energy Generation and Supply,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Benguela, Kwanza Norte, Cunene, Huambo, Uige, Zaire",-10.82696,15.03197,Kwanza Sul,2006,"Phase 2: New Generation Network for Benguela, Kwanza, Cunene, Huambo, Uige and Zaire (Linked to ID #42029)",Angola,AdditionalCoded,124996725.0,False
Angola,Energy Generation and Supply,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Benguela, Kwanza Norte, Cunene, Huambo, Uige, Zaire",-12.85399,13.92825,Benguela,2006,"Phase 2: New Generation Network for Benguela, Kwanza, Cunene, Huambo, Uige and Zaire (Linked to ID #42029)",Angola,AdditionalCoded,124996725.0,False
Angola,Energy Generation and Supply,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Benguela, Kwanza Norte, Cunene, Huambo, Uige, Zaire",-6.58717,13.51966,Zaire,2006,"Phase 2: New Generation Network for Benguela, Kwanza, Cunene, Huambo, Uige and Zaire (Linked to ID #42029)",Angola,AdditionalCoded,124996725.0,False
Angola,Energy Generation and Supply,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Benguela, Kwanza Norte, Cunene, Huambo, Uige, Zaire",-8.91136,14.8887,Cuanza Norte,2006,"Phase 2: New Generation Network for Benguela, Kwanza, Cunene, Huambo, Uige and Zaire (Linked to ID #42029)",Angola,AdditionalCoded,124996725.0,False
Angola,Energy Generation and Supply,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Benguela, Kwanza Norte, Cunene, Huambo, Uige, Zaire",-12.5,15.666670000000002,Huambo,2006,"Phase 2: New Generation Network for Benguela, Kwanza, Cunene, Huambo, Uige and Zaire (Linked to ID #42029)",Angola,AdditionalCoded,124996725.0,False
Angola,Energy Generation and Supply,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Benguela, Kwanza Norte, Cunene, Huambo, Uige, Zaire",-16.510089999999998,15.43526,Cunene,2006,"Phase 2: New Generation Network for Benguela, Kwanza, Cunene, Huambo, Uige and Zaire (Linked to ID #42029)",Angola,AdditionalCoded,124996725.0,False
Angola,Energy Generation and Supply,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Benguela, Kwanza Norte, Cunene, Huambo, Uige, Zaire",-7.107189999999999,15.44056,Uíge,2006,"Phase 2: New Generation Network for Benguela, Kwanza, Cunene, Huambo, Uige and Zaire (Linked to ID #42029)",Angola,AdditionalCoded,124996725.0,False
