all_recipients,crs_sector_name,flow,flow_class,funding_agency,intent,location_details,latitude,longitude,place_name,year,project_title,recipient_condensed,round_coded,aid_amount,predicted_by_modeling
Tanzania,Education,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Rorya District,-1.28912,34.07161,Rorya District Council,2014,"Chinese Ambassador Donates $3,000 USD to Construct Tanzanian School",Tanzania,EcologicallySensitive,3000.0,False
Rwanda,Energy Generation and Supply,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,-1.58333,29.91667,Northern Province,2014,China donates solar energy kit systems to Rwanda,Rwanda,EcologicallySensitive,642304.0,False
Kenya,General Environmental Protection,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,-1.41667,34.91667,Maasai Mara National Reserve,2014,"Chinese donated $20,000 USD anti-poaching equipment to Kenya ",Kenya,AdditionalCoded,20000.0,False
Angola,Unallocated / Unspecified,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Angola,2014,China donates 180 million yuan to Angola,Angola,AdditionalCoded,29299574.0,False
Benin,Emergency Response,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Benin,2014,China provides assistance for Ebola prevention in Benin,Benin,AdditionalCoded,840000.0,False
Angola,Other Social infrastructure and services,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Luanda,-8.83682,13.23432,Luanda,2014,"Chinese embassy donates 350,000 RMB in sports equipment to Angola",Angola,AdditionalCoded,56971.0,False
Botswana,Support to Non-governmental Organizations (NGOs) and Government Organizations,Grant,ODA-like,"Chinese Embassy/Consulate, Government Agency",Development,unknown,-24.65451,25.90859,Gaborone,2014,China donates money for exercise equipment to Botswana charity,Botswana,AdditionalCoded,19496.0,False
Mauritania,Water Supply and Sanitation,Vague TBD,Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Nouakchott,18.08581,-15.9785,Nouakchott,2014,China provides 3.3 million USD to Mauritania for sanitation ,Mauritania,AdditionalCoded,3300000.0,False
Ghana,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Ghana,2014,China donates 5 million CNY in medical supplies to Ghana for ebola outbreak,Ghana,AdditionalCoded,813877.0,False
Uganda,Energy Generation and Supply,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,Isimba,0.825,33.03,Isimba Hydropower Project,2014,Exim Bank loans 482.5 million USD for Isimba hydropower plant,Uganda,EcologicallySensitive,482500000.0,False
Ethiopia,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,unknown,8.89643,38.78908,Akaki Kality,2014,EXIM loans $177 million USD for Lebu-Akaki-IT Park (Goro) outer ring road in Ethiopia (linked to #30886),Ethiopia,AdditionalCoded,177000000.0,False
